T:22C | Air:55% | Soil:67% | Fan:OFF | Pump:OFF
T:22C | Air:55% | Soil:64% | Fan:OFF | Pump:OFF
T:22C | Air:55% | Soil:61% | Fan:OFF | Pump:OFF
T:23C | Air:55% | Soil:59% | Fan:OFF | Pump:OFF
T:23C | Air:55% | Soil:56% | Fan:OFF | Pump:OFF
T:23C | Air:55% | Soil:53% | Fan:OFF | Pump:OFF
T:24C | Air:55% | Soil:50% | Fan:OFF | Pump:OFF
T:24C | Air:55% | Soil:47% | Fan:OFF | Pump:OFF
T:24C | Air:55% | Soil:45% | Fan:OFF | Pump:OFF
T:25C | Air:55% | Soil:42% | Fan:OFF | Pump:OFF
T:25C | Air:55% | Soil:39% | Fan:OFF | Pump:OFF
T:25C | Air:55% | Soil:36% | Fan:OFF | Pump:OFF
T:25C | Air:55% | Soil:34% | Fan:OFF | Pump:OFF
T:26C | Air:55% | Soil:31% | Fan:ON | Pump:OFF
T:26C | Air:55% | Soil:28% | Fan:ON | Pump:ON
T:26C | Air:55% | Soil:26% | Fan:ON | Pump:ON
T:27C | Air:55% | Soil:23% | Fan:ON | Pump:ON
T:27C | Air:55% | Soil:20% | Fan:ON | Pump:ON
T:27C | Air:55% | Soil:17% | Fan:ON | Pump:ON
T:28C | Air:55% | Soil:14% | Fan:ON | Pump:ON
T:28C | Air:55% | Soil:14% | Fan:ON | Pump:ON
T:28C | Air:55% | Soil:14% | Fan:ON | Pump:ON
T:28C | Air:55% | Soil:14% | Fan:ON | Pump:ON
T:28C | Air:55% | Soil:14% | Fan:ON | Pump:ON
T:28C | Air:55% | Soil:14% | Fan:ON | Pump:ON
T:28C | Air:55% | Soil:14% | Fan:ON | Pump:ON
T:27C | Air:55% | Soil:17% | Fan:ON | Pump:ON
T:27C | Air:55% | Soil:20% | Fan:ON | Pump:ON
T:27C | Air:55% | Soil:23% | Fan:ON | Pump:ON
T:26C | Air:55% | Soil:26% | Fan:ON | Pump:ON
T:26C | Air:55% | Soil:28% | Fan:ON | Pump:ON
T:26C | Air:55% | Soil:31% | Fan:ON | Pump:ON
T:25C | Air:55% | Soil:34% | Fan:ON | Pump:ON
T:25C | Air:55% | Soil:36% | Fan:ON | Pump:ON
T:25C | Air:55% | Soil:39% | Fan:ON | Pump:ON
T:25C | Air:55% | Soil:42% | Fan:ON | Pump:ON
T:24C | Air:55% | Soil:45% | Fan:ON | Pump:ON
T:24C | Air:55% | Soil:47% | Fan:ON | Pump:ON
T:24C | Air:55% | Soil:50% | Fan:ON | Pump:ON
T:23C | Air:55% | Soil:53% | Fan:OFF | Pump:ON
T:23C | Air:55% | Soil:56% | Fan:OFF | Pump:ON
T:23C | Air:55% | Soil:59% | Fan:OFF | Pump:ON
T:22C | Air:55% | Soil:61% | Fan:OFF | Pump:OFF
T:22C | Air:55% | Soil:64% | Fan:OFF | Pump:OFF
T:22C | Air:55% | Soil:67% | Fan:OFF | Pump:OFF
T:22C | Air:55% | Soil:69% | Fan:OFF | Pump:OFF
